open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1672531200000,16530.2,16530.2,16530.1,16530.2,29471,1672531259999,487159.8859,158,13088,216347.2576,0
1672531260000,16530.2,16530.2,16530.1,16530.1,4435,1672531319999,73311.3015,66,3.08,50913016,0
1672531320000,16530.1,16530.2,16527.2,16527.2,13733,1672531379999,226997.9099,121,5053,83527.1006,0
1672531380000,16527.2,16527.3,16523.0,16523.0,33656,1672531439999,556172.1478,197,5455,90141.7635,0
1672531440000,16523.1,16523.6,16521.3,16523.6,17583,1672531499999,290505.4636,170,13804,228068.0151,0
