,MSE,MAE,RMSE,MAPE,THEIL_U
0,202.92099804091984,8.215415435297832,14.245034153729497,0.039144715672986274,4.939161426467266e-07
1,189.26173008134262,7.513760375554187,13.757242822649552,0.035784358687995586,4.606690513791589e-07
2,199.12369309809063,7.877894657594163,14.111119484225574,0.0374193591650885,4.846733820259783e-07
3,197.21789557544622,7.812901401890213,14.043428910898015,0.03700919790141902,4.80034610434384e-07
4,241.23877918446786,9.757481781464357,15.531863351976408,0.04645009256270471,5.8718283677853e-07
5,262.74435901097513,10.023895492640579,16.209391074650988,0.04683749647783408,6.395280998899786e-07
6,226.84690853965898,9.168837496825125,15.06143779788832,0.043692183730654185,5.521525673486447e-07
7,387.8490621953066,13.755926785999819,19.693883877877077,0.06420239796481811,9.44036913764964e-07
8,194.78815090415728,7.631254662696688,13.956652568010615,0.036104925583755894,4.7412053487174814e-07
9,196.77093368675347,8.114347534202073,14.027506324602156,0.039127479749423,4.78946691026809e-07
Média,229.87625103171186,8.987171562416503,15.063756036650819,0.04257722074966793,5.595260830166922e-07
Desvio Padrão,60.45159251140757,1.8979078939485996,1.8133777874385069,0.00863689318970884,1.471410927323805e-07
,,
